algorithm,purity,macro_f1,weighted_f1,accuracy,homogeneity,completeness,v_measure,nmi,ami,ari,fowlkes_mallows,bcubed_precision,bcubed_recall,bcubed_f1,divergence,runtime,params,method,dataset
iris_balance_lists_n_clusters_cfg14,0.65,0.652014652014652,0.6384615384615385,0.65,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.3940476786214541,0.3233082706766917,0.5263157894736841,0.5928571428571429,0.6142857142857143,0.6033812341504649,0.39,1.2917382717132568,"{'random_state': 42, 'n_estimators': 70, 'max_depth': 4}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg14,0.65,0.6372377622377622,0.6229458041958041,0.65,0.4605232346268242,0.48134520333302666,0.4707040624297488,0.4707040624297489,0.40136849956070003,0.34306569343065696,0.5506887917539348,0.5920634920634921,0.6571428571428573,0.6229079687783627,0.39000000000000007,1.0557875633239746,"{'random_state': 42, 'n_estimators': 70, 'max_depth': 4}",max_prob_clusters,iris
iris_match_class_distribution_cfg14,0.7,0.5738095238095238,0.5650000000000001,0.6,0.47675404270353644,0.40072847277729695,0.43544780905019276,0.43544780905019276,0.3257313590298986,0.30446194225721784,0.4970674233862172,0.6095238095238096,0.5571428571428572,0.5821574344023324,0.39499999999999996,0.7554278373718262,"{'random_state': 42, 'n_estimators': 70, 'max_depth': 4}",match_class_distribution,iris
iris_chimera_cfg14,0.65,0.652014652014652,0.6384615384615385,0.65,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.3940476786214541,0.3233082706766917,0.5263157894736841,0.5928571428571429,0.6142857142857143,0.6033812341504649,0.39,0.710700511932373,"{'random_state': 42, 'n_estimators': 70, 'max_depth': 4}",chimera,iris
iris_menu_cfg14,0.7,0.6666666666666666,0.653846153846154,0.65,0.5051042011935385,0.44661553861610975,0.4740626372180352,0.4740626372180352,0.3777175031201884,0.3281653746770026,0.5193205584696801,0.630952380952381,0.5857142857142856,0.6074923119932905,0.4125,0.8317751884460449,"{'random_state': 42, 'n_estimators': 70, 'max_depth': 4}",menu,iris
iris_select_clusters_cfg15,0.85,0.6389906389906389,0.6280830280830281,0.6,0.6948226142609581,0.4935566402086891,0.5771462498118113,0.5771462498118113,0.4463077636653944,0.3835616438356164,0.5445100807792043,0.780952380952381,0.5571428571428572,0.6503304524656838,0.5175,0.7179181575775146,"{'random_state': 42, 'n_estimators': 75, 'max_depth': 6}",select_clusters,iris
iris_balance_lists_n_clusters_cfg15,0.65,0.652014652014652,0.6384615384615385,0.65,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.3940476786214541,0.3233082706766917,0.5263157894736841,0.5928571428571429,0.6142857142857143,0.6033812341504649,0.39,1.3064091205596924,"{'random_state': 42, 'n_estimators': 75, 'max_depth': 6}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg15,0.65,0.6372377622377622,0.6229458041958041,0.65,0.4605232346268242,0.48134520333302666,0.4707040624297488,0.4707040624297489,0.40136849956070003,0.34306569343065696,0.5506887917539348,0.5920634920634921,0.6571428571428573,0.6229079687783627,0.39000000000000007,1.0967817306518555,"{'random_state': 42, 'n_estimators': 75, 'max_depth': 6}",max_prob_clusters,iris
iris_match_class_distribution_cfg15,0.7,0.5738095238095238,0.5650000000000001,0.6,0.47675404270353644,0.40072847277729695,0.43544780905019276,0.43544780905019276,0.3257313590298986,0.30446194225721784,0.4970674233862172,0.6095238095238096,0.5571428571428572,0.5821574344023324,0.39499999999999996,0.8017570972442627,"{'random_state': 42, 'n_estimators': 75, 'max_depth': 6}",match_class_distribution,iris
iris_chimera_cfg15,0.65,0.652014652014652,0.6384615384615385,0.65,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.3940476786214541,0.3233082706766917,0.5263157894736841,0.5928571428571429,0.6142857142857143,0.6033812341504649,0.39,0.7968153953552246,"{'random_state': 42, 'n_estimators': 75, 'max_depth': 6}",chimera,iris
